Categoria: Todas as categorias

Semana,influenza: (Viena)
2012-01-01,30
2012-01-08,46
2012-01-15,35
2012-01-22,41
2012-01-29,31
2012-02-05,41
2012-02-12,42
2012-02-19,100
2012-02-26,90
2012-03-04,52
2012-03-11,36
2012-03-18,37
2012-03-25,43
2012-04-01,23
2012-04-08,17
2012-04-15,15
2012-04-22,24
2012-04-29,22
2012-05-06,16
2012-05-13,49
2012-05-20,24
2012-05-27,33
2012-06-03,48
2012-06-10,31
2012-06-17,32
2012-06-24,24
2012-07-01,18
2012-07-08,37
2012-07-15,0
2012-07-22,28
2012-07-29,26
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,32
2012-09-02,16
2012-09-09,15
2012-09-16,22
2012-09-23,15
2012-09-30,22
2012-10-07,37
2012-10-14,32
2012-10-21,38
2012-10-28,24
2012-11-04,41
2012-11-11,14
2012-11-18,23
2012-11-25,13
2012-12-02,20
2012-12-09,27
2012-12-16,28
2012-12-23,25
2012-12-30,59
