created_at,text,related,infection,self
2009-10-28T11:36:12Z,isn't afraid if swine flu. Swine flu is afraid of me.,0,NA,NA
2009-10-28T11:53:50Z,isn't afraid of swine flu. Swine flu is afraid of me.,0,NA,NA
2009-11-21T11:28:07Z,Reported Human Cases Of Bird Flu Or H5N1 Influenza http://parakeetbird.illblogs.com/reported-human-cases-of-bird-flu-or-h5n1-influenza/,0,NA,NA
2009-09-16T18:47:37Z,"RT @MattBesser Kanye just stopped the swine flu, saying the bird flu is the better pandemic.",0,NA,NA
2009-11-23T22:09:26Z,@orionbooks review : The Things That Keep Us Here - Carla Buckley :chilling tale of aftermath of bird flu pandemic http://u.nu/89wx3,0,NA,NA
2009-10-28T13:49:53Z,Just finished getting on my high horse about H1N1 - all this media hype is panicing everyone - would you normally come to hospital with flu?,1,1,0
2009-10-28T05:03:11Z,There is no need to get a flu shot its not that im afraid of the side afects it just dosent mater if your 9-60 years old,0,NA,NA
2009-10-28T06:56:27Z,Anxious Crowds Meet Ad Hoc Swine Flu Police http://tinyurl.com/ylearcf,0,NA,NA
2009-11-21T08:35:22Z,"getting ready for Magda's flu jab in Cester, apparently healthy babies are too healthy to get one....",0,NA,NA
2009-10-28T08:35:52Z,#H1N1 #Swine_flu on 3 Fav Sources like Gawker-Swine Flu Hysteria Reaches a New Low: Relatives Too Scared to Att.. http://bit.ly/2fr1Br,0,NA,NA
2009-10-28T05:33:40Z,Anxious Crowds Meet Ad Hoc Swine Flu Police: Efforts to get vaccines to those at high risk are colliding with w.. http://bit.ly/9XuYL,0,NA,NA
2009-10-28T10:10:20Z,from times & transcr Who's getting flu shots?: Is southeastern New Brunswick being left beh.. http://bit.ly/ZWf4Y,0,NA,NA
2009-10-28T06:34:13Z,#SwineFlu Anxious Crowds Meet Ad Hoc Swine Flu Police - New York Times http://ow.ly/15XNja,0,NA,NA
2009-10-28T13:21:24Z,Flu pandemic fear: too many people home sick overwhelms internet: Baltimore Sun With the swine flu in full swin.. http://bit.ly/2a1eAb,0,NA,NA
2009-11-01T21:51:04Z,"Millions without sick leave fear swine flu: The Associated Press
&quot;If I&#39;m well enough to sit up in bed .. http://bit.ly/1jC5UN",0,NA,NA
2009-11-21T04:13:03Z,"Need Help with H1N1 Vaccine Fear? Sid the Science Kid Explains How Flu Vaccines Work: 
 There's also an iPhone .. http://bit.ly/6hA2sT",0,NA,NA
2009-11-21T09:25:49Z,Worried about the news that under 5's having swine flu jab next. Anyone had it yet - any side effects?,0,NA,NA
2009-10-28T10:51:09Z,Hahahahaha wow! RT @michaelianblack: Swine flu is getting a little ho-hum. May I propose man-eating tiger herpes?,0,NA,NA
2009-10-28T14:15:48Z,"Higher-Risk Groups Getting Vaccine First: While swine flu vaccines have arrived in Laramie County, short suppli.. http://bit.ly/4EyMRw",0,NA,NA
2009-11-21T08:10:21Z,"Another Update Re:""H1N1 'super flu' plague in Ukraine spark concern, conspiracy theories about origins"": Another fa... http://bit.ly/51EMKQ",0,NA,NA
2009-10-28T07:44:04Z,"@spurofmom3nt - Who? Dennis? Certainly not, I am just thinking the photo has been stupidly exaggerated by the media - like Swine Flu.",0,NA,NA
2009-11-21T18:25:17Z,Oh yay! Getting chippy food for dinner. I'm getting a pizza supper. Maybe the grease will eat my flu bug ^_^,1,0,1
2009-11-21T14:58:22Z,"@billmaher response 2 swine flu captures current state of Americans: still afraid, still ignorant. When will we wake up? #religulous !",1,NA,NA
2009-10-28T07:03:08Z,RT @michaelianblack Swine flu is getting a little ho-hum. May I propose man-eating tiger herpes?,0,NA,NA
2009-09-16T17:29:14Z,#swineflu Saudis dismiss Hajj swine flu fears but other states worry - AFP: AFPSaudis dismiss Hajj swin.. http://bit.ly/27QNdM,0,NA,NA
2009-11-19T13:25:13Z,"#swineflu 'Tis the season for swine flu, and Santa is scared - Tampabay.com: CTV.ca&#39;Tis the season.. http://bit.ly/4FCZWY",0,NA,NA
2009-10-10T00:44:34Z,#swineflu Schools open amid swine flu concern - Arab News: Schools open amid swine flu concernArab New.. http://bit.ly/1yPhPl,1,NA,NA
2009-11-01T11:35:01Z,#swineflu Some are more worried about vaccine than about the flu - The Morning Sun: MiamiHerald.comSom.. http://bit.ly/4F7fN2,0,NA,NA
2009-11-04T15:39:43Z,#swineflu Ukraine Closes Schools Nationwide For Fear of Swine Flu - Lubavitch.com: China DailyUkraine .. http://bit.ly/1sPH5a,0,NA,NA
2009-11-05T19:06:21Z,#swineflu Large NYC employers getting swine flu vaccine - The Associated Press: RTE.ieLarge NYC employ.. http://bit.ly/3AhLD0,1,NA,NA
2009-10-28T14:21:57Z,Flu pandemic fear: too many people home sick overwhelms internet: Baltimore Sun This is not merely a question o.. http://tinyurl.com/yhsgd2n,1,NA,NA
2009-11-21T12:43:04Z,My mum keeps going on about me getting the flu injection! No thanks,1,NA,NA
2009-10-28T16:41:53Z,Duane Reade canceled their flu shot clinics! Now where am I going to get a flu shot? I'm not getting this bug!,1,1,1
2009-11-21T18:34:08Z,"Gucci Mane - Uptown Bird Flu.
http://www.mediafire.com/?jjj5ifzzjh3",0,NA,NA
2009-11-24T09:05:38Z,"Nov 23, Cold Remedies; Getting Ready for the Cold and Flu Season: Cold remedies and preventive measures to create an... http://bit.ly/k0yds",0,NA,NA
2009-11-10T04:29:19Z,Go to mrsimcard.com 15% of inmates risk getting swine flu - OFFICIALS at Cork Prison have said that up to 15% of in... http://ow.ly/160CMy,0,NA,NA
2009-10-28T14:35:42Z,Go to mrsimcard.com The difference between Bird Flu and Swine Flu http://ow.ly/15XRdP,0,NA,NA
2009-10-28T13:50:35Z,How to Avoid Getting the Flu or Cold: http://bit.ly/EnJAi,0,NA,NA
2009-11-23T22:27:22Z,Swine Flu vs. Bird Flu vs. Zombie Flu http://bit.ly/4nuL7o,0,NA,NA
2009-11-03T16:36:57Z,New post: Some inmates getting the swine flu vaccine before Hampton Roads families - WTKR Your NewsChannel 3 (http://cli.gs/9jygY),0,NA,NA
2009-11-01T11:44:24Z,New post: How to prevent getting swine flu and what to do if you have it - Washington Post (http://cli.gs/L5SrH),0,NA,NA
2009-10-28T06:14:13Z,New post: Anxious Crowds Meet Ad Hoc Swine Flu Police - New York Times (http://cli.gs/t012s),0,NA,NA
2009-10-25T05:58:48Z,New post: Valley's high-risk patients getting swine flu vaccine - AZ Central.com (http://cli.gs/eRQs7),0,NA,NA
2009-12-12T18:37:11Z,Fear of Flu: Shifting the Goalposts http://cli.gs/3vTmZ,1,NA,NA
2009-10-28T14:27:58Z,@sarahshum Ugh. I'm getting a flu shot (hopefully) in about half an hour. :( Sorry yours is being ugly!,1,1,1
2009-11-21T03:14:57Z,I hope this isn't the pig flu. Two and half days in bed and still no real signs of truely getting better :(,1,0,1
2009-09-23T22:10:40Z,@OhSoNattral swine flu!  Ppl are scared.,1,1,0
2009-11-21T10:55:02Z,"Swine Flu Vaccine Egypt: health and safety--measures taken to combat bird an.. http://bit.ly/07Mt7FO
 Swine Flu Vaccine",0,NA,NA
2009-10-28T11:09:38Z,Does anyone have any intel re: swine flu jab and pregnancy? A pregnant friend is anxious as she has heard conflicting reports.,0,NA,NA
2009-11-21T00:41:47Z,I wonder what kind of flu swines are afraid of?,1,1,1
2009-10-05T19:53:43Z,Canadian studies says people getting the seasonal flu shot are twice as likely to contract H1N1 http://bit.ly/4Ev3ho,0,NA,NA
2009-11-24T04:33:24Z,@kelliepickler Chinese years: 2007-Cow: Mad Cow Disease; 2008-Bird: Avian Flu; 2009-Pig: Swine Flu; 2010-Rooster: Any of you men worried?,1,NA,NA
2009-11-21T09:30:16Z,Getting over the shortest bout of flu ever,1,0,1
2009-10-28T11:07:09Z,RT @michaelianblack: Swine flu is getting a little ho-hum. May I propose man-eating tiger herpes?,0,NA,NA
2009-11-21T13:59:32Z,"Kellogg Is Getting In Trouble For Phrases Such As “hikes Resistance”: With Swine Flu making.. http://bit.ly/55YFH6 #Health, #Nutrition",1,NA,NA
2009-10-28T10:11:02Z,Can't believe I'm just getting  home!! I have an exam at 8am and then I'm working at the clinic administering flu vaccines! Wish me luck!,0,NA,NA
2009-10-28T10:17:05Z,Flu Prevention: Bird Flu Monitor: Do Not Take The H1N1 Swine Flu Vaccine Until You ... http://bit.ly/4G62Zi,0,NA,NA
2009-10-29T04:50:25Z,Flu Prevention: Avian Bird Flu Information and Its Treatment | Vote Now! http://bit.ly/2f0uCT,0,NA,NA
2009-11-19T12:07:15Z,SWINE FLU NEWS 1.5M Per Day Getting Swine Flu Vaccine in China (source: New York Times) http://tinyurl.com/yll5u8m FOLLOW ME,0,NA,NA
2009-10-28T07:16:48Z,BIRD FLU NEWS Effort Launched To Find And Control Diseases That Move Between W.. http://tinyurl.com/yfqtxn6 follow warren today,0,NA,NA
2009-10-27T18:48:01Z,BIRD FLU NEWS Where to find seasonal flu vaccines (source: wtopnews.com) http://tinyurl.com/ygu5yye follow warren today,0,NA,NA
2009-10-26T09:16:51Z,BIRD FLU NEWS Don't let kids trick-or-treat if they're sick (source: wtopnews... http://tinyurl.com/yzd4mph follow warren today,0,NA,NA
2009-10-08T11:32:29Z,BIRD FLU NEWS Seasonal flu clinics in Montgomery Co. schools end (source: wtop.. http://tinyurl.com/y8bof7e follow warren today,0,NA,NA
2009-10-23T07:16:53Z,BIRD FLU NEWS Cyber Exploring The 'Ecosystems' Of Influenzas (source: Science .. http://tinyurl.com/yzyzt7e follow warren today,0,NA,NA
2009-10-28T05:37:13Z,@f_reddie lmfaorofl...nothing cures the pig flu like crazy white guy fros. lol. PS srsly hope u r not getting swine flu &lt;3,1,NA,NA
2009-10-28T10:46:26Z,@MaliyaD Oh! Dats a gud thing dnt worry swine flu is nothing and her baby will be okeih .. Dnt worry for ! Be happy hunny I promess;),1,NA,NA
2009-11-21T07:26:12Z,Tamiflu-resistant swine flu causes new worry http://bit.ly/7onAke,0,NA,NA
2009-11-14T14:21:10Z,Swine flu fear keeps teen hospital volunteers home http://bit.ly/2SCA2u,1,NA,NA
2009-11-23T22:29:16Z,this flu season is a horrible. everyone is getting sick. makes you dislike winter that much more. winter is not fun when one has a cold.,1,0,0
2009-11-24T07:26:46Z,The War on You and Your Children Happening Right Now http://bit.ly/4CooEr Indonesia accuses US of bird flu plot http://bit.ly/1jhqVD,0,NA,NA
2009-10-28T05:21:06Z,LOL! RT @michaelianblack: Swine flu is getting a little ho-hum. May I propose man-eating tiger herpes?,0,NA,NA
2009-10-28T11:29:12Z,na niggas aint out wit Masks on...dat swine flu got me nervous as fucc boutta stay in for da winter,1,1,1
2009-11-21T17:50:10Z,Just returned from the Doctors. They clearly were thinking I had swine flu.. I actually have bronchitis.,1,1,0
2009-11-21T13:44:09Z,vaccine 4 prevention of bird flu http://bit.ly/8Oq8pD,1,NA,NA
2009-11-21T10:11:51Z,"Meanwhile, I sat home alone worried and still trying to recover from my bout with the flu. fml",1,0,1
2009-11-24T10:28:03Z,"WHO warns of bird flu resurgence
: http://tinyurl.com/yd9subx",0,NA,NA
2009-09-16T22:47:50Z,Vaccine experts gear up for pandemic of worry - Swine flu- m http://ff.im/-8eLAy,0,NA,NA
2009-10-28T16:44:11Z,Congressional Libs: only thing that can save us from Swine Flu is a Public Option - more disturbing fear mongering,0,NA,NA
2009-11-21T12:11:18Z,Maanga needs to call Mbise to get the name of the vacination for the chickens to protect from bird flu. Given as a drop in the chicken's eye,1,NA,NA
2009-11-21T02:38:46Z,"@ivebeenlinuxed I found multiple articles about this including 'Avian flu', 'Bird flu', 'Flu (influenza)', 'Flu jab', 'Pandemic flu', 'Sw...",0,NA,NA
2009-11-23T23:10:59Z,"I shit you not, Cosmo has a recommended sexual position to reduce your chances of getting Swine Flu. WTF! Someone at Cosmo is doing it wrong",0,NA,NA
2009-11-23T23:09:02Z,Getting ready to go get my Swine Flu Vaccine,0,NA,NA
2009-10-28T06:32:00Z,Anxious Crowds Meet Ad Hoc Swine Flu Police - New York Times http://ow.ly/15XNbv,0,NA,NA
2009-09-09T20:03:42Z,"Air Kisses, Hugs, and Other Ways to Avoid Getting Swine Flu http://bit.ly/TF3q5",0,NA,NA
2009-11-30T22:06:03Z,Getting the flu shot...,0,NA,NA
2009-10-27T23:28:07Z,"@hntchen I skip the flu shot because I'm not young/old/sick, h1n1 is different because I am &lt;25 (biggest group affected), still thinking...",0,NA,NA
2009-10-28T02:23:00Z,"@perlmunger All the cool kids are getting swine flu, but according to the resident Dr. Mom I only have regular flu. Missing all you NScoders",1,0,1
2009-10-28T04:57:53Z,muh. if I am getting sick and it's not swine flu I am going to be SO PISSED.,1,0,1
2009-10-27T21:48:54Z,Flu shots are getting mighty hard to find. Our latest: http://bit.ly/2ZDrGt (you may need to scroll down.) #H1N1,0,NA,NA
2009-10-27T19:38:40Z,I'M WORRIED ABOUT KILEY. - she’s got serious swine flu. same with my cousin. I really hope i don’t get it... http://tumblr.com/xl53q11f4,1,NA,NA
2009-11-19T21:16:12Z,"Getting more ringtones :) found out that the swine flu vacc, could give me cancer!",0,NA,NA
2009-10-28T02:20:46Z,"Picked up tickets for a haunted house on Saturday. Not sure what I'm more scared of scary demons, or scary demons with possible swine flu.",0,NA,NA
2009-11-19T19:03:55Z,"Starting today, New Yorkers concerned about the H1N1 flu will be able to consult a reg nurse by calling 311 info line: http://ow.ly/DKj6",0,NA,NA
2009-10-28T01:20:48Z,Swine Flu Hysteria Reaches a New Low: Relatives Too Scared to Attend An H1N1 Funeral [H1N1] : The CDC's complex.. http://bit.ly/WlgG5,0,NA,NA
2009-11-19T18:50:29Z,Mall Santas are worried about catching swine flu from snotty nosed brats who spread germs like cockroaches. They're taking precautions.,1,1,0
2009-11-19T18:59:27Z,"Had my swine flu shot yesterday, now my coughs sound like oinks, should I be worried?",0,NA,NA
2009-10-28T02:32:28Z,RT @nytimes: Anxious Crowds Meet Ad Hoc Swine Flu Police http://bit.ly/1AYmgM,0,NA,NA
2009-10-27T22:52:44Z,Footballer spit sparks swine flu fear http://bit.ly/VzHip,0,NA,NA
2009-10-27T22:18:50Z,does anyone else fear that the swine flu vaccination shot is a conspiracy?,0,NA,NA
2009-10-28T04:31:40Z,is unsure about all this talk of vaccinations... def NOT getting the flu one,1,1,0
2009-10-28T00:04:45Z,Worried about Swine Flu? Check out our guide at http://Newport-com/swineflu,0,NA,NA
2009-09-16T15:30:13Z,So glad to hear Jillian will not be be getting swine flu vaccine.  I too am pregnant and don't want that crap in my body!!,1,1,1
2009-10-27T23:52:29Z,"Mail Online: Players warned that spitting is a swine flu risk, but Bolton boss Megson isn't worried.. http://bit.ly/Uxw1u",0,NA,NA
2009-11-20T03:05:08Z,Parents should not fear intranasal flu vaccine. http://ow.ly/Dqt4,1,1,0
2009-10-27T23:29:41Z,at the doctors for my swine flu shot.....many little kids are crying...im very scared help me mommy,0,NA,NA
2009-10-01T03:16:32Z,"I'm getting a flu shot for the ones I love - especially this season. You should get one, too. Pass it on. www.walgreens.com/flu",0,1,1
2009-10-01T03:16:32Z,"I'm getting a flu shot for the ones I love - especially this season. You should get one, too. Pass it on. www.walgreens.com/flu",1,1,1
2009-10-27T18:57:01Z,RT @ericrumsey: Scientists in Midwest Examine Pig Farming for Answers on H1N1: Farmers Worry #Swine #Flu (WaPo) http://bit.ly/1JXgKP,0,NA,NA
2009-10-27T22:33:07Z,Footballers Warned Against Spitting As Swine Flu Fear Thickens: Spitting stars have been issued with a stern warning. http://url4.eu/gCGS,0,NA,NA
2009-10-27T23:32:35Z,"Daily Mail &gt;&gt; Players warned that spitting is a swine flu risk, but Bolton boss Megson isn't worried http://bit.ly/oixVV",0,NA,NA
2009-11-20T03:16:39Z,Flu vaccine slow getting to Maine - Bangor Daily News http://bit.ly/4pfe98,0,NA,NA
2009-11-13T20:34:54Z,Season flu vaccine shortage prompting concern - Montana's News Station http://bit.ly/39Qz20,0,NA,NA
2009-11-20T12:31:12Z,RT @USATODAYhealth: 1.5M per day getting swine flu vaccine in China http://bit.ly/2YlJj5,0,NA,NA
2009-11-19T22:04:53Z,1.5M Per Day Getting Swine Flu Vaccine In China - Health News ... http://bit.ly/2TbHuT,0,NA,NA
2009-10-27T22:49:08Z,"@GraceyJones I've been hugging her most of the day!  Motrin's just reducing fever, not getting rid of it.  And her ped was happy it's flu?",1,0,0
