created_at,text
2019-06-09T14:56:34Z,@corri_gama There is basic flu which women and children normally get. Then there is man flu which men get which is far severe and can often result in death if not taken seriously. The only cure to man flu is usually with love and care from a female
2019-06-09T13:01:25Z,I'm really hoping that this flu doesn't develop into man flu 😭
2019-06-09T14:55:42Z,@conorduffy_7 One of the times I got the flu.
2019-06-09T14:55:40Z,@mikelippert He had the flu. It’s why he didn’t start
2019-06-09T14:55:14Z,"Dude i had a cold two weeks ago, now i got the flu😭"
2019-06-09T14:54:37Z,Last night i forgot to wear blanket and wake up in the morning with flu :)
2019-06-09T14:53:46Z,Totally thought I could work with the Flu. I'm not even clocked in yet and I have chills and cold sweats. 🤣
2019-06-09T14:53:27Z,day drank yesterday with some besties and now I feel like I have the flu and found 4 pimples on my forehead and had horrific nightmares about mice crawling all over my body but no headache bitch!!!! drink your damn water!!!!
2019-06-09T14:53:13Z,Having a cold/flu during the summer SUCKS!
2019-06-09T14:52:02Z,i hate the flu
2019-06-09T14:51:52Z,"Commonly called dope sickness, heroin withdrawal symptoms are often compared to the flu. Here's a list and timeline for individuals experience. #addiction #recovery https://t.co/c3zP1eAjJ3 https://t.co/ciSlufavQc"
2019-06-09T14:51:52Z,How in the fuck do I have the flu in June.... this shit is for the birds
2019-06-09T14:51:34Z,Remember....Antibiotics does not work for cold or flu.. https://t.co/kzeS8jGVVv
2019-06-09T14:51:03Z,"To mock a bit @daniel_cuello, a wonderful comic artist i follow.
Who is? What is doing? 
And for today enough jumping around, perspective exercises awaits. and a couple of photo to edit too, and i've got flu and a scratchy throat. https://t.co/4wGPv6XUSd"
2019-06-08T17:50:23Z,"#drawing digress..
This week was hard, no time,really tired,  and as the cherry on top i've got flu.
But is Saturday, so i managed to draw something, nothing fancy, just for exercise and relax, trying to tear down subject to basic form. nothing to get excited about, but okish. https://t.co/671lqOIULn"
2019-06-09T14:50:52Z,"@hybrid756 😂😂 you know it!

Thats good to hear 😁
Oh I suppose 😂 yeah mines been alright bit of a flu but otherwise good!"
2019-06-09T14:50:39Z,"Been sleeping the whole weekend because of the flu but man, I need the rest!"
2019-06-09T14:50:22Z,@ThotBreakerJosh @itsjdrew_ @Connor_Hale2 @kylekuzma Kobe needed Shaq and luck. Dirk slayed one of the most ridiculous teams of all time nearly by himself while having the flu.
2019-06-09T14:50:07Z,"“Belle Hutt, 24, from Oxford, was diagnosed with severe narcolepsy after having a flu vaccination in 2009.” .⁦@Todaysparent⁩ .⁦@parentsmagazine⁩ #vaccineinjuryisnotsorare 🤞⁦@VaccineChoiceCA⁩  https://t.co/eyyJK1yMgl"
2019-06-09T14:49:43Z,"If you've gotten this far, please next time you're a bit unwell with a cold, think whether antibiotics are right for you.

Antibiotics will not treat viral illnesses like colds and flu, and overuse will lead to resistance.

And that will make Taylor sad."
2019-06-09T14:49:07Z,Rockin Pneumonia and the Boogie Woogie Flu https://t.co/4By41lqnH2 via @YouTube
2019-06-09T14:49:04Z,Flute Loops Free Download 2019 New Latest Flutes Loops Flute Karaoke Flu... https://t.co/zJv0TYywuX via @YouTube
2019-06-09T14:48:51Z,this flu shit gotta go🤧🤒
2019-06-09T14:46:34Z,Hopped up on three different cold/flu medicines and about to start band practice. Pray for me y'all 🙏
2019-06-09T14:46:13Z,@Shihab06 I might have caught your kufa flu.😭
2019-06-09T14:45:55Z,fuck this flu i got from my brother he is fine now but im suffering im gonna k*ll him istg i hate flu so much
2019-06-09T14:45:49Z,"Australian flu answers:
😷It's 80:20 Flu A:B
😷Most A/H3N2
😷It's not just more testing or travel
😷We don't know why number have been way high since NOV2018
😷It's probably about the viruses
😷The vaccine covers A/H1N1, B/VIC &amp; B/YAM really well
More: 
https://t.co/TqVfRqzvxI"
2019-06-09T14:45:29Z,"Worth recalling that when scientists wanted living samples of the 1918 flu virus that wiped out a hefty chunk of the population, they drilled in Arctic ice cores. Now those cores are melting, &amp; diseases potentially dating back eons wait to awaken &amp; greet us anew..."
2019-06-09T14:45:28Z,In Singapore yesterday we heard from Meat and Lamb Australia regarding the impact of African Swine Flu in China. Of note is a 20% drop in pork production in China is equivalent to the entire global beef trade!! Watch this space @NuffieldNZ @NuffieldInt @FAR_Arable https://t.co/0wOV62YQuh
2019-06-09T14:45:08Z,im having flu rn and my septum kinda hurts ugh 😷
2019-06-09T14:44:15Z,"@toppediatrician @jim_herd @LynnleeMavakay flu shot is 1 that is known to be particularly likely to instigate a worse disease.  because flu shots only cover a minority of flu strains, there are many flu strains.  some of them can be kind of deadly.
https://t.co/EfpKn2xAca"
2019-06-09T14:42:28Z,"@Gardeniagal4 So sad.  Flu shot, Tamiflu and one nasty antibiotic do not make for a good mixture for the system.  But the number of posts around this that say ‘get your flu shot or die’ are astounding.  😔"
2019-06-09T01:12:27Z,"Overhead as I was walking into supermarket yesterday: ""How's John going?"" ""Oh, not good. He got the flu shot the other day and reacted badly. He still can't get out of bed"". True story. Vaccines harm."
2019-06-09T14:43:55Z,"《Song Of The Day #1509》Rockin’ Pneumonia &amp; The Boogie Woogie Flu - Huey “Piano” Smith (1957)
Rainy Sunday is perfect for getting all undone chores taken care of. Hope we can get out of this petit rainy season soon :)
Ever since Dr. John’s passing,... https://t.co/r22pTWZNv8"
2019-06-09T14:43:28Z,This flu needs to free me
2019-06-09T14:42:12Z,“an important step towards a possible way of reducing the current burden of bird flu and preventing the next #influenza pandemic. You don't have to ask why did chicken science cross this road”—⁦@bruce_y_lee⁩  https://t.co/CtRp6xu48K
2019-06-09T14:40:44Z,I'm sick of flu and acah2 demam tings. Can I enjoy my raya plz 👉🏻👈🏻
2019-06-09T14:39:05Z,"Community #pharmacists in England have administrated 1,431,538 #flu #vaccinations to patients under the national NHS #fluvaccination service 2018/19.

Learn more here: https://t.co/bmucMvxqOz @PharmacyBiz https://t.co/2eRaSSxUqv"
2019-06-09T14:38:52Z,"Fuck catching feelings, here's a list of things I'd rather catch
1. The Flu (sick day)
2. Chlamydia (Its curable)
3. Me Outside (How bout that)"
2019-06-09T14:38:21Z,"Mum: Get vaccinated against flu.

Me: *remembers the battle between me and my Dr when he wanted to give me an injection for my swollen throat. ""Okay, I see you want to die."" is what made me give in.*

Me: *Didn't get vaccinated*

Me now: *flu is killing me*"
2019-06-09T14:38:06Z,"My eldest kids just came home, middle of winter, no shoes, one has flu. Yay."
2019-06-09T14:37:41Z,"@albinokid @EmilioEmm Chamomile tea might help. Apparently it's good for things such as flu like symptoms, insomnia, and poor gas mileage."
2019-06-09T14:37:32Z,"@lizzo @lizskurdal We're always on the verge of another flu pandemic or plague virus mutation, so maybe there's hope for humanity's survival after all 😕"
2019-06-09T14:37:25Z,"Fuck catching feelings, here's a list of things I'd rather catch
1. The Flu (sick day)
2. Chlamydia (Its curable)
3. Me Outside (How bout that)"
2019-06-09T14:37:06Z,"Good morning everyone..Happy Sunday..Sorry I've not been around lately, had some sort of flu bug but feeling more human now 👍 I hope you all have a lovely day xx 😊💗🌻⚘ https://t.co/NQVQWSsu7v"
2019-06-09T14:36:19Z,@_KageVersal_ Wtf is man flu😭💀
2019-06-09T14:36:03Z,"@silkyhank @RepDougCollins 😂🤣why do these illegals walk and ride thousands of miles!  They are s ill from the long journey!  They could have leukemia, flu, TB. who knows!  Get real!"
2019-06-09T14:35:43Z,"@Juanita_Khumalo My goals for the week:
1. Go back to gym ( yes my flu is gone)
2. Supplement at least 1 meal with a smoothie
3. Pack lunch daily 
4. Drink 1 cup of green tea daily"
2019-06-09T14:35:13Z,"Pssst to all my hip, young followers. After 40, eating good BBQ gives you flu like symptoms for 12 hours. Get that shit out of your system now."
2019-06-09T14:34:04Z,"@Juanita_Khumalo My goals for the week:
1. Go back to gym ( yes my flu is gone)
2. Supplement at least 1 meal with a smoothie
3. Pack lunch daily 
4. Drink 1 cup of green tea daily"
2019-06-09T14:32:55Z,Could gene editing chickens help stop bird flu? https://t.co/IUElZHUMWI By @bruce_y_lee https://t.co/2rtzCPbCaq
